Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL,,,,,,
Total participation,50,25,27,12,114,,,,,,
Qualified ,15,10,9,3,37,,,,,,
Qualified (in %),30%,40%,33.33%,25%,32.46% Average,,,,,,
House Wise Participation V,12,1,9,2,24,,,,,,
House Wise Participation S,17,6,5,4,32,,,,,,
House Wise Participation N,4,4,10,2,20,,,,,,0
House Wise Participation H,17,13,4,4,38,,,,,,
Qualified V,1,1,2,0,4,,,,,,
Qualified S,5,3,2,1,11,,,,,,
Qualified N,3,2,4,1,10,,,,,,
Qualified H,6,4,1,1,12,,,,,,
Best Timing,13.44,13.02,13.38,12.08,12.08,,,,,,
Total Points,26,23,19,12,80,,,,,,
Points  V,4,5,6,0,15,,,,,,
Points S,9,5,4,5,23,,,,,,
Points N,6,6,8,4,24,,,,,,
Points H,7,7,1,3,18,,,,,,
