Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,8,9,30,8,55
Qualified ,6,4,13,4,27
Qualified (in %),75%,44.44%,43.33%,50%,49.09% Average
House Wise Participation V,2,3,5,1,11
House Wise Participation S,3,1,5,2,11
House Wise Participation N,2,1,11,4,18
House Wise Participation H,1,4,9,1,15
Qualified V,2,1,3,1,7
Qualified S,1,1,3,0,5
Qualified N,2,0,4,2,8
Qualified H,1,2,3,1,7
Best Timing,2.53,2.3,2.29,2.36,2.29
Total Points,16,14,24,14,68
Points  V,3,2,4,4,13
Points S,1,4,3,0,8
Points N,9,0,13,7,29
Points H,3,8,4,3,18
