Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,,8,5,1,14
Qualified ,,2,2,1,5
Qualified (in %),,25%,40%,100%,35.71% Average
House Wise Participation V,,2,3,0,5
House Wise Participation S,,4,1,1,6
House Wise Participation N,,1,1,0,2
House Wise Participation H,,1,0,0,1
Qualified V,,1,0,0,1
Qualified S,,0,1,1,2
Qualified N,,0,1,0,1
Qualified H,,1,0,0,1
Maximum Distance,,22.8,28.7,24.36,28.7
Total Points,,9,9,5,23
Points  V,,4,0,0,4
Points S,,0,4,5,9
Points N,,0,5,0,5
Points H,,5,0,0,5
