Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,19,28,82,49,178
Qualified ,13,20,46,25,104
Qualified (in %),68.42%,71.43%,56.1%,51.02%,58.43% Average
House Wise Participation V,6,6,26,12,50
House Wise Participation S,5,9,18,11,43
House Wise Participation N,3,9,22,10,44
House Wise Participation H,5,4,18,16,43
Qualified V,7,5,16,5,33
Qualified S,1,5,8,8,22
Qualified N,2,6,15,5,28
Qualified H,3,4,7,7,21
Maximum Distance,1.49,1.4,1.45,1.45,1.49
Total Points,23,30,56,35,144
Points  V,14,11,19,7,51
Points S,1,5,8,12,26
Points N,2,10,18,5,35
Points H,6,4,11,11,32
