Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,24,12,16,6,58
Qualified ,13,8,5,2,28
Qualified (in %),54.17%,66.67%,31.25%,33.33%,48.28% Average
House Wise Participation V,3,2,4,3,12
House Wise Participation S,8,3,5,1,17
House Wise Participation N,8,3,1,2,14
House Wise Participation H,4,4,6,0,14
Qualified V,2,2,2,0,6
Qualified S,6,2,1,1,10
Qualified N,4,3,1,1,9
Qualified H,3,1,1,0,5
Maximum Distance,7.98,8.78,9.33,8.78,9.33
Total Points,25,19,15,9,68
Points  V,4,3,7,0,14
Points S,6,10,4,5,25
Points N,8,5,3,4,20
Points H,7,1,1,0,9
